date,content
2021-05-02 23:59:59+00:00,These two &gt; https://t.co/JjFEuenoST
2021-05-02 23:59:59+00:00,"In a trio of studies, researchers follow up on a 40-year-old finding that certain bacteriophages replace adenine with so-called diaminopurine, perhaps to avoid host degradation. https://t.co/PcjdLjoW9n"
2021-05-02 23:59:59+00:00,"“The recognition makes you a name, but the respect makes them remember it” 

Changing the narrative #GoKnights https://t.co/a1rRM4SF1m"
2021-05-02 23:59:59+00:00,Hey @GetSpectrum if you don't get Hornets programming on soon I am gonna come undone.   Get this famn Atlanta United replay off my TV please.
2021-05-02 23:59:59+00:00,The thing that’s gonna run me away from Twitter is not the stupid  BT topics. At least they’re entertaining. It’s the stupid sports takes for engagement purposes.
2021-05-02 23:59:59+00:00,wait cuz the chromatica oreos ACTUALLY make ur poop turn greenish..... https://t.co/XoIh93a68r
2021-05-02 23:59:59+00:00,"This is Reagan Grimes, the 7-year-old, who was shot while she was playing in the courtyard of a Northeast apartment complex yesterday. I just spoke with her maternal grandmother, Tina. She shared some good news... Reagan is talking. What else she shared is at 10&amp;11. @7NewsDC https://t.co/LdA2DsBHIC"
2021-05-02 23:59:59+00:00,"""It is only by dispelling the clouds and phantoms of Religion, that we shall discover Truth, Reason and Morality."" Baron D'Holbach"
2021-05-02 23:59:59+00:00,"Hey Indie Hackers, wondering what do you usually use for authentication in your new projects??

@KennethCassel  @benbarbersmith  @heybereket  @alexwestco  @arvidkahl  @damengchen"
2021-05-02 23:59:58+00:00,"Shit, what was I doing with that punctuation"
2021-05-02 23:59:58+00:00,Because our weather is so awesome 😎🥶 https://t.co/ZvMBDC1zFr
2021-05-02 23:59:58+00:00,"in the short term i'm hoping for some more ancient tuberculosis and syphilis DNA

lot of interesting mysteries there"
2021-05-02 23:59:58+00:00,clear phone case kinda 🍎 🍇🍊 https://t.co/rZYI4iI0oM
2021-05-02 23:59:58+00:00,@murdo_fraser Have you the same view on the celebrity Tories from that country south of our border? An awful lot of them seem to have the view that can tell us what to do in voting for our Scottish government.
2021-05-02 23:59:58+00:00,@TiceRichard @metpoliceuk If he'd been Islamic outside Batley school gate not observing social distancing he'd have been completely ignored by police...
2021-05-02 23:59:58+00:00,Na why e no good to ask person HOW ARE YOU 😂 https://t.co/9qntPAPfCQ
2021-05-02 23:59:58+00:00,shawties really like the slap n spit in their mouth vibe during sex ? cause last time i did that i got a surprised look 🤧
2021-05-02 23:59:58+00:00,@Jessicam6946 I'm fully vaccinated. Got my hair cut on Friday and found out my stylist (of several years) is an antivaxer. I'll be looking for a new place to get my hair cut.
2021-05-02 23:59:58+00:00,"#CHUANG2021

i already miss them so much... https://t.co/oQRSQA1cig"
2021-05-02 23:59:57+00:00,"but also maybe, just maybe(if I've earned your trust) take a look for yourselves and see if you come to the same/similar conclusions I do

I'm gonna dump on y'all eventually 

but I want y'all to make money too"
2021-05-02 23:59:57+00:00,forgot i changed my pfp and got scared by myself on the tl 😭
2021-05-02 23:59:57+00:00,"Another great @maangchi recipe: LA galbi with ssamjang, kkaenip, and kkakdugi (store-bought). Both the galbi marinade and the ssamjang are really good! https://t.co/7LZB2hWiDC"
2021-05-02 23:59:57+00:00,I'm thinking about this https://t.co/pTIvvO7JQY
2021-05-02 23:59:57+00:00,I love BOTH of my children. So fucking much.❤️❤️💙💙
2021-05-02 23:59:57+00:00,"I

WALK

AROUND

LIKE

THAT

𝑮𝑨𝑴𝑬𝑹"
2021-05-02 23:59:57+00:00,"everyone knows I'm a massive SOL bull/shill

those who've been following me for a long time know that I don't shill any position I don't 

A) own with the intention to hold 

and 

B) believe is a massively positive risk/reward/probability bet

Don't EVER position off my tweets"
