date,content,content_cleaned,hashtags,content_preprocessed,content_preprocessed_with_stopwords
2022-10-03 23:59:59+00:00,Thank you @yukitsunoda07 for being in F1 and giving Japan a reason to fight for a comeback! I love Sazuka race course!,Thank you for being in F  and giving Japan a reason to fight for a comeback  I love Sazuka race course,[],"['thank', 'f', 'give', 'japan', 'reason', 'fight', 'comeback', 'love', 'sazuka', 'race', 'course']","['thank', 'you', 'for', 'being', 'in', 'f', 'and', 'giving', 'japan', 'a', 'reason', 'to', 'fight', 'for', 'a', 'comeback', 'i', 'love', 'sazuka', 'race', 'course']"
2022-10-03 23:59:59+00:00,@see_leyb Have been incredibly busy and so many errands! Life just got so hectic!! 😍 thank you for missing me!,Have been incredibly busy and so many errands  Life just got so hectic    smiling face with heart eyes  thank you for missing me,[],"['incredibly', 'busy', 'many', 'errand', 'life', 'get', 'hectic', 'smile', 'face', 'heart', 'eye', 'thank', 'miss']","['have', 'been', 'incredibly', 'busy', 'and', 'so', 'many', 'errands', 'life', 'just', 'got', 'so', 'hectic', 'smiling', 'face', 'with', 'heart', 'eyes', 'thank', 'you', 'for', 'missing', 'me']"
2022-10-03 23:59:59+00:00,Here’s the Real Gag…. @ThegirlJT is Just A Real bitch No Numbers or Chart can Top that ‼️,Heres the Real Gag  is Just A Real bitch No Numbers or Chart can Top that  double exclamation mark,[],"['here', 'real', 'gag', 'real', 'bitch', 'number', 'chart', 'top', 'double', 'exclamation', 'mark']","['heres', 'the', 'real', 'gag', 'is', 'just', 'a', 'real', 'bitch', 'no', 'numbers', 'or', 'chart', 'can', 'top', 'that', 'double', 'exclamation', 'mark']"
2022-10-03 23:59:59+00:00,Excited to see the final product by @riptidebuilders for my buyers who are building in Sea Trail Plantation. https://t.co/DQ2jMZGyv6,Excited to see the final product by for my buyers who are building in Sea Trail Plantation,[],"['excite', 'see', 'final', 'product', 'buyer', 'build', 'sea', 'trail', 'plantation']","['excited', 'to', 'see', 'the', 'final', 'product', 'by', 'for', 'my', 'buyers', 'who', 'are', 'building', 'in', 'sea', 'trail', 'plantation']"
2022-10-03 23:59:59+00:00,3 inna day 💰 3 MORE TOMORROW 😮‍💨🏧,inna day  money bag    MORE TOMORROW  face exhaling  ATM sign,[],"['inna', 'day', 'money', 'bag', 'tomorrow', 'face', 'exhale', 'atm', 'sign']","['inna', 'day', 'money', 'bag', 'more', 'tomorrow', 'face', 'exhaling', 'atm', 'sign']"
2022-10-03 23:59:59+00:00,@worldssapartt is an angel.,is an angel,[],['angel'],"['is', 'an', 'angel']"
2022-10-03 23:59:59+00:00,@justinbaragona People like MTG and Watters ate gonna be the type of people all over that Right Stuff conservative dating app.  Good luck.,People like MTG and Watters ate gonna be the type of people all over that Right Stuff conservative dating app  Good luck,[],"['people', 'like', 'mtg', 'watters', 'eat', 'gon', 'na', 'type', 'people', 'right', 'stuff', 'conservative', 'date', 'app', 'good', 'luck']","['people', 'like', 'mtg', 'and', 'watters', 'ate', 'gon', 'na', 'be', 'the', 'type', 'of', 'people', 'all', 'over', 'that', 'right', 'stuff', 'conservative', 'dating', 'app', 'good', 'luck']"
2022-10-03 23:59:59+00:00,"Is Your Commercial Real Estate Ready for the Recession?  

#CRE #CorporateRealEstate #TenantRep #Leasing #TenantTips   
https://t.co/SI6mLFjcjS",Is Your Commercial Real Estate Ready for the Recession   CRE  CorporateRealEstate  TenantRep  Leasing  TenantTips,"['CRE', 'CorporateRealEstate', 'TenantRep', 'Leasing', 'TenantTips']","['commercial', 'real', 'estate', 'ready', 'recession', 'cre', 'corporaterealestate', 'tenantrep', 'lease', 'tenanttips']","['is', 'your', 'commercial', 'real', 'estate', 'ready', 'for', 'the', 'recession', 'cre', 'corporaterealestate', 'tenantrep', 'leasing', 'tenanttips']"
2022-10-03 23:59:59+00:00,@LOGANXARCHER @bxrbiedoll__ 🥺🥺🥺 love you too xx,pleading face  pleading face  pleading face  love you too xx,[],"['plead', 'face', 'plead', 'face', 'plead', 'face', 'love', 'xx']","['pleading', 'face', 'pleading', 'face', 'pleading', 'face', 'love', 'you', 'too', 'xx']"
2022-10-03 23:59:59+00:00,i love kissing whenever we're alone in an elevator together,i love kissing whenever we re alone in an elevator together,[],"['love', 'kiss', 'whenever', 'alone', 'elevator', 'together']","['i', 'love', 'kissing', 'whenever', 'we', 're', 'alone', 'in', 'an', 'elevator', 'together']"
