date,content,content_cleaned,hashtags,content_preprocessed,content_preprocessed_with_stopwords
2022-10-04 23:59:59+00:00,"@TrueFactsStated I guess it's a sad case of ""Why hide it when no one they're talking to is listening?"". 😒",I guess it s a sad case of  Why hide it when no one they re talking to is listening     unamused face,[],"['guess', 'sad', 'case', 'hide', 'one', 'talk', 'listen', 'unamused', 'face']","['i', 'guess', 'it', 's', 'a', 'sad', 'case', 'of', 'why', 'hide', 'it', 'when', 'no', 'one', 'they', 're', 'talking', 'to', 'is', 'listening', 'unamused', 'face']"
2022-10-04 23:59:59+00:00,"@JJim_Thanaporn @marktuan MARK TUAN IN HOUSTON 
#TheOtherSideTourInHouston
#theothersidetour @marktuan
🤍🤍🤍",MARK TUAN IN HOUSTON  TheOtherSideTourInHouston  theothersidetour  white heart  white heart  white heart,"['TheOtherSideTourInHouston', 'theothersidetour']","['mark', 'tuan', 'houston', 'theothersidetourinhouston', 'theothersidetour', 'white', 'heart', 'white', 'heart', 'white', 'heart']","['mark', 'tuan', 'in', 'houston', 'theothersidetourinhouston', 'theothersidetour', 'white', 'heart', 'white', 'heart', 'white', 'heart']"
2022-10-04 23:59:59+00:00,@insearchofrest Dang it is this about Dr. L*Per*?,Dang it is this about Dr  L Per,[],"['dang', 'dr', 'l', 'per']","['dang', 'it', 'is', 'this', 'about', 'dr', 'l', 'per']"
2022-10-04 23:59:59+00:00,Happy October Neighbors!! Dogs and happiness go hand in paw! 🐾 Share your best buddy's adorable pic with us!! ⤵️📸😆 https://t.co/U75VobBdjD,Happy October Neighbors   Dogs and happiness go hand in paw   paw prints  Share your best buddy s adorable pic with us    right arrow curving down  camera with flash  grinning squinting face,[],"['happy', 'october', 'neighbor', 'dog', 'happiness', 'go', 'hand', 'paw', 'paw', 'print', 'share', 'best', 'buddy', 'adorable', 'pic', 'u', 'right', 'arrow', 'curve', 'camera', 'flash', 'grinning', 'squint', 'face']","['happy', 'october', 'neighbors', 'dogs', 'and', 'happiness', 'go', 'hand', 'in', 'paw', 'paw', 'prints', 'share', 'your', 'best', 'buddy', 's', 'adorable', 'pic', 'with', 'us', 'right', 'arrow', 'curving', 'down', 'camera', 'with', 'flash', 'grinning', 'squinting', 'face']"
2022-10-04 23:59:59+00:00,"notas pra pack do squad?? 

-🍷",notas pra pack do squad     wine glass,[],"['notas', 'pra', 'pack', 'squad', 'wine', 'glass']","['notas', 'pra', 'pack', 'do', 'squad', 'wine', 'glass']"
2022-10-04 23:59:59+00:00,@RyanMaue @JackPosobiec @GovDeSantis should sue NYT and then give the winnings equally out to everyone in Florida lol,should sue NYT and then give the winnings equally out to everyone in Florida lol,[],"['sue', 'nyt', 'give', 'winning', 'equally', 'everyone', 'florida', 'lol']","['should', 'sue', 'nyt', 'and', 'then', 'give', 'the', 'winnings', 'equally', 'out', 'to', 'everyone', 'in', 'florida', 'lol']"
2022-10-04 23:59:59+00:00,"@edgarwright I wrote down all of your list and luckily I have an @AlamoRaleigh near me that has a video rental portion in their bar area with a huge selection of British horror, so I’ll definitely be checking out many of them. Hopefully a few this month. Will let you know when I do. 🖤🎬",I wrote down all of your list and luckily I have an near me that has a video rental portion in their bar area with a huge selection of British horror  so Ill definitely be checking out many of them  Hopefully a few this month  Will let you know when I do   black heart  clapper board,[],"['write', 'list', 'luckily', 'near', 'video', 'rental', 'portion', 'bar', 'area', 'huge', 'selection', 'british', 'horror', 'ill', 'definitely', 'check', 'many', 'hopefully', 'month', 'let', 'know', 'black', 'heart', 'clapper', 'board']","['i', 'wrote', 'down', 'all', 'of', 'your', 'list', 'and', 'luckily', 'i', 'have', 'an', 'near', 'me', 'that', 'has', 'a', 'video', 'rental', 'portion', 'in', 'their', 'bar', 'area', 'with', 'a', 'huge', 'selection', 'of', 'british', 'horror', 'so', 'ill', 'definitely', 'be', 'checking', 'out', 'many', 'of', 'them', 'hopefully', 'a', 'few', 'this', 'month', 'will', 'let', 'you', 'know', 'when', 'i', 'do', 'black', 'heart', 'clapper', 'board']"
2022-10-04 23:59:59+00:00,"@CatholicusRoma1 Don’t want to watch, if I do I would probably toss my TV out through the window!",Do not want to watch  if I do I would probably toss my TV out through the window,[],"['want', 'watch', 'would', 'probably', 'toss', 'tv', 'window']","['do', 'not', 'want', 'to', 'watch', 'if', 'i', 'do', 'i', 'would', 'probably', 'toss', 'my', 'tv', 'out', 'through', 'the', 'window']"
2022-10-04 23:59:59+00:00,I need to be rich I want my own chef😵‍💫,I need to be rich I want my own chef face with spiral eyes,[],"['need', 'rich', 'want', 'chef', 'face', 'spiral', 'eye']","['i', 'need', 'to', 'be', 'rich', 'i', 'want', 'my', 'own', 'chef', 'face', 'with', 'spiral', 'eyes']"
2022-10-04 23:59:59+00:00,"and it’ll be for their own good, not mine.",and itll be for their own good  not mine,[],"['itll', 'good', 'mine']","['and', 'itll', 'be', 'for', 'their', 'own', 'good', 'not', 'mine']"
