date,content,content_cleaned,hashtags,content_preprocessed,content_preprocessed_with_stopwords
2022-10-05 23:59:59+00:00,it's been 5 years https://t.co/mD1vSwhND3,it s been   years,[],['year'],"['it', 's', 'been', 'years']"
2022-10-05 23:59:59+00:00,@Digital_kaz NIV has correct text: https://t.co/M8sPpkwN2p,NIV has correct text,[],"['niv', 'correct', 'text']","['niv', 'has', 'correct', 'text']"
2022-10-05 23:59:59+00:00,i wish i was haechan https://t.co/L4TYDTeEe9,i wish i was haechan,[],"['wish', 'haechan']","['i', 'wish', 'i', 'was', 'haechan']"
2022-10-05 23:59:59+00:00,@jullsrockwell @gigihoppe NEM FUDEND,NEM FUDEND,[],"['nem', 'fudend']","['nem', 'fudend']"
2022-10-05 23:59:59+00:00,20220516 - Fresh Wave Alternate Intro - Karl Wyssen by Intro from 2022 Finite,Fresh Wave Alternate Intro   Karl Wyssen by Intro from   Finite,[],"['fresh', 'wave', 'alternate', 'intro', 'karl', 'wyssen', 'intro', 'finite']","['fresh', 'wave', 'alternate', 'intro', 'karl', 'wyssen', 'by', 'intro', 'from', 'finite']"
2022-10-05 23:59:59+00:00,@yarotrof Russian stuff is junk,Russian stuff is junk,[],"['russian', 'stuff', 'junk']","['russian', 'stuff', 'is', 'junk']"
2022-10-05 23:59:59+00:00,@TJLang70 @peneisewell58 That’s just plain filthy and MEAN…love it…get some more you big bully!,Thats just plain filthy and MEANlove itget some more you big bully,[],"['thats', 'plain', 'filthy', 'meanlove', 'itget', 'big', 'bully']","['thats', 'just', 'plain', 'filthy', 'and', 'meanlove', 'itget', 'some', 'more', 'you', 'big', 'bully']"
2022-10-05 23:59:59+00:00,@Jcolevillle coke was so duckin wrong ab this life of pablo better then anything he ever dropped and donda was still aoty dis nigga is so corny yo,coke was so duckin wrong ab this life of pablo better then anything he ever dropped and donda was still aoty dis nigga is so corny yo,[],"['coke', 'duckin', 'wrong', 'ab', 'life', 'pablo', 'well', 'anything', 'ever', 'drop', 'donda', 'still', 'aoty', 'dis', 'nigga', 'corny', 'yo']","['coke', 'was', 'so', 'duckin', 'wrong', 'ab', 'this', 'life', 'of', 'pablo', 'better', 'then', 'anything', 'he', 'ever', 'dropped', 'and', 'donda', 'was', 'still', 'aoty', 'dis', 'nigga', 'is', 'so', 'corny', 'yo']"
2022-10-05 23:59:59+00:00,5/9 start in the 1st for Brown after going 8/11 on Sunday. Celtics and Raptors tied 20-20.,start in the  st for Brown after going     on Sunday  Celtics and Raptors tied,[],"['start', 'st', 'brown', 'go', 'sunday', 'celtic', 'raptor', 'tie']","['start', 'in', 'the', 'st', 'for', 'brown', 'after', 'going', 'on', 'sunday', 'celtics', 'and', 'raptors', 'tied']"
2022-10-05 23:59:59+00:00,off to Japan! See you Japan’s Winnies 😊 https://t.co/s1OvRBWsFx,off to Japan  See you Japans Winnies  smiling face with smiling eyes,[],"['japan', 'see', 'japan', 'winnies', 'smile', 'face', 'smile', 'eye']","['off', 'to', 'japan', 'see', 'you', 'japans', 'winnies', 'smiling', 'face', 'with', 'smiling', 'eyes']"
