date,content,content_cleaned,hashtags,content_preprocessed,content_preprocessed_with_stopwords
2022-10-06 23:59:59+00:00,He's looks so cuddly in that sweater 😚 and he even talking to the reporters cutely...safe flight baby! https://t.co/K1ZnJvR1a4,He s looks so cuddly in that sweater  kissing face with closed eyes  and he even talking to the reporters cutely   safe flight baby,[],"['look', 'cuddly', 'sweater', 'kiss', 'face', 'close', 'eye', 'even', 'talk', 'reporter', 'cutely', 'safe', 'flight', 'baby']","['he', 's', 'looks', 'so', 'cuddly', 'in', 'that', 'sweater', 'kissing', 'face', 'with', 'closed', 'eyes', 'and', 'he', 'even', 'talking', 'to', 'the', 'reporters', 'cutely', 'safe', 'flight', 'baby']"
2022-10-06 23:59:59+00:00,"so as the months get colder, i'm less sober",so as the months get colder  i m less sober,[],"['month', 'get', 'cold', 'less', 'sober']","['so', 'as', 'the', 'months', 'get', 'colder', 'i', 'm', 'less', 'sober']"
2022-10-06 23:59:59+00:00,"@jcasper11 @LightCrownA @katie_robertson @maggieNYT I read the newspaper every day. It speaks to issues affecting the community I live in, it covers local events from music, art to air shows and pumpkin patches. And yes, I like the editorials because I like being informed I can exercise my own critical analysis 😉",I read the newspaper every day  It speaks to issues affecting the community I live in  it covers local events from music  art to air shows and pumpkin patches  And yes  I like the editorials because I like being informed I can exercise my own critical analysis  winking face,[],"['read', 'newspaper', 'every', 'day', 'speak', 'issue', 'affect', 'community', 'live', 'cover', 'local', 'event', 'music', 'art', 'air', 'show', 'pumpkin', 'patch', 'yes', 'like', 'editorial', 'like', 'inform', 'exercise', 'critical', 'analysis', 'wink', 'face']","['i', 'read', 'the', 'newspaper', 'every', 'day', 'it', 'speaks', 'to', 'issues', 'affecting', 'the', 'community', 'i', 'live', 'in', 'it', 'covers', 'local', 'events', 'from', 'music', 'art', 'to', 'air', 'shows', 'and', 'pumpkin', 'patches', 'and', 'yes', 'i', 'like', 'the', 'editorials', 'because', 'i', 'like', 'being', 'informed', 'i', 'can', 'exercise', 'my', 'own', 'critical', 'analysis', 'winking', 'face']"
2022-10-06 23:59:59+00:00,"@mirna0722 WIP1 - Svenja will try to be polite unless the person says or does something to attack/offend someone she cares about.

WIP2 - Aveza almost finds it more fun to interact with people she dislikes, since then she gets to mess with them and threaten their life.",WIP    Svenja will try to be polite unless the person says or does something to attack offend someone she cares about  WIP    Aveza almost finds it more fun to interact with people she dislikes  since then she gets to mess with them and threaten their life,[],"['wip', 'svenja', 'try', 'polite', 'unless', 'person', 'say', 'something', 'attack', 'offend', 'someone', 'care', 'wip', 'aveza', 'almost', 'find', 'fun', 'interact', 'people', 'dislike', 'since', 'get', 'mess', 'threaten', 'life']","['wip', 'svenja', 'will', 'try', 'to', 'be', 'polite', 'unless', 'the', 'person', 'says', 'or', 'does', 'something', 'to', 'attack', 'offend', 'someone', 'she', 'cares', 'about', 'wip', 'aveza', 'almost', 'finds', 'it', 'more', 'fun', 'to', 'interact', 'with', 'people', 'she', 'dislikes', 'since', 'then', 'she', 'gets', 'to', 'mess', 'with', 'them', 'and', 'threaten', 'their', 'life']"
2022-10-06 23:59:59+00:00,@AmericanAnemoia @Partisangirl Good recap https://t.co/CRmSyQmnjv,Good recap,[],"['good', 'recap']","['good', 'recap']"
2022-10-06 23:59:59+00:00,@demindblower He appeared in the In Memoriam slot of the Baftas immediately after his death. And I reckon most millionaires prefered Thatcher to Hoskins. He was still brilliant though.,He appeared in the In Memoriam slot of the Baftas immediately after his death  And I reckon most millionaires prefered Thatcher to Hoskins  He was still brilliant though,[],"['appear', 'memoriam', 'slot', 'baftas', 'immediately', 'death', 'reckon', 'millionaire', 'prefer', 'thatcher', 'hoskins', 'still', 'brilliant', 'though']","['he', 'appeared', 'in', 'the', 'in', 'memoriam', 'slot', 'of', 'the', 'baftas', 'immediately', 'after', 'his', 'death', 'and', 'i', 'reckon', 'most', 'millionaires', 'prefered', 'thatcher', 'to', 'hoskins', 'he', 'was', 'still', 'brilliant', 'though']"
2022-10-06 23:59:59+00:00,@Perkinson_ @Red_Alf_Muz @goal Because we know there is England B,Because we know there is England B,[],"['know', 'england', 'b']","['because', 'we', 'know', 'there', 'is', 'england', 'b']"
2022-10-06 23:59:59+00:00,:O properly named DPs! (minus ken but you get the point) https://t.co/vopQoZGXNF,O properly named DPs   minus ken but you get the point,[],"['properly', 'name', 'dp', 'minus', 'ken', 'get', 'point']","['o', 'properly', 'named', 'dps', 'minus', 'ken', 'but', 'you', 'get', 'the', 'point']"
2022-10-06 23:59:59+00:00,"@Favour335 That other fanbase, they even opened a space about it yesterday",That other fanbase  they even opened a space about it yesterday,[],"['fanbase', 'even', 'open', 'space', 'yesterday']","['that', 'other', 'fanbase', 'they', 'even', 'opened', 'a', 'space', 'about', 'it', 'yesterday']"
2022-10-06 23:59:59+00:00,@1421cart prettyyyyy omg &lt;3,prettyyyyy omg  lt,[],"['prettyyyyy', 'omg', 'lt']","['prettyyyyy', 'omg', 'lt']"
