date,content,content_cleaned,hashtags,content_preprocessed,content_preprocessed_with_stopwords
2022-10-02 23:59:59+00:00,@giselefetterman @Bob_Casey @JohnFetterman And they both live there too.,And they both live there too,[],['live'],"['and', 'they', 'both', 'live', 'there', 'too']"
2022-10-02 23:59:59+00:00,GMC Nowadays ✨ https://t.co/eyx5QqMzbv,GMC Nowadays  sparkles,[],"['gmc', 'nowadays', 'sparkle']","['gmc', 'nowadays', 'sparkles']"
2022-10-02 23:59:59+00:00,@aintthatsomesh8 @AlyciaTyre @YCP4EVRRR red flagsss,red flagsss,[],"['red', 'flag']","['red', 'flagsss']"
2022-10-02 23:59:59+00:00,@KennethFoat I’M SORRY?????? WHAT?,IM SORRY       WHAT,[],"['im', 'sorry']","['im', 'sorry', 'what']"
2022-10-02 23:59:59+00:00,The woman king is getting watched as soon as it’s out,The woman king is getting watched as soon as its out,[],"['woman', 'king', 'get', 'watch', 'soon']","['the', 'woman', 'king', 'is', 'getting', 'watched', 'as', 'soon', 'as', 'its', 'out']"
2022-10-02 23:59:59+00:00,Veola Taft Goode - He Is My God https://t.co/QLYLshqCNm,Veola Taft Goode   He Is My God,[],"['veola', 'taft', 'goode', 'god']","['veola', 'taft', 'goode', 'he', 'is', 'my', 'god']"
2022-10-02 23:59:59+00:00,"@rickywlmsbong @arindube if they do, I think they lose immediately, so I think they won't. But who knows, they've been very dumb so far",if they do  I think they lose immediately  so I think they wo not  But who knows  they ve been very dumb so far,[],"['think', 'lose', 'immediately', 'think', 'wo', 'know', 'dumb', 'far']","['if', 'they', 'do', 'i', 'think', 'they', 'lose', 'immediately', 'so', 'i', 'think', 'they', 'wo', 'not', 'but', 'who', 'knows', 'they', 've', 'been', 'very', 'dumb', 'so', 'far']"
2022-10-02 23:59:59+00:00,"@LongFormMath That's a lot like shitting, isn't it. I am fantastically good at shitting. I spin Moebius strips out of my bum like a topoturdmagician",That s a lot like shitting  is not it  I am fantastically good at shitting  I spin Moebius strips out of my bum like a topoturdmagician,[],"['lot', 'like', 'shit', 'fantastically', 'good', 'shit', 'spin', 'moebius', 'strip', 'bum', 'like', 'topoturdmagician']","['that', 's', 'a', 'lot', 'like', 'shitting', 'is', 'not', 'it', 'i', 'am', 'fantastically', 'good', 'at', 'shitting', 'i', 'spin', 'moebius', 'strips', 'out', 'of', 'my', 'bum', 'like', 'a', 'topoturdmagician']"
2022-10-02 23:59:59+00:00,Brett Favre is still NYC heatwave trash and deserves to be thrown in jail for a long time.,Brett Favre is still NYC heatwave trash and deserves to be thrown in jail for a long time,[],"['brett', 'favre', 'still', 'nyc', 'heatwave', 'trash', 'deserve', 'throw', 'jail', 'long', 'time']","['brett', 'favre', 'is', 'still', 'nyc', 'heatwave', 'trash', 'and', 'deserves', 'to', 'be', 'thrown', 'in', 'jail', 'for', 'a', 'long', 'time']"
2022-10-02 23:59:59+00:00,"@UScrimeReview @Stratman602 @JamieSale Lol. Ever since you tweeted ""hunnet"" recently, the word ""hundred"" was immediately deleted from my vocabulary. This phenomenon finally caught up with ""fitty"" (or ""fiddy"") from years ago.

I may replace the definition tho: https://t.co/XgQfvUkdOc",Lol  Ever since you tweeted  hunnet  recently  the word  hundred  was immediately deleted from my vocabulary  This phenomenon finally caught up with  fitty   or  fiddy   from years ago  I may replace the definition tho,[],"['lol', 'ever', 'since', 'tweet', 'hunnet', 'recently', 'word', 'hundred', 'immediately', 'delete', 'vocabulary', 'phenomenon', 'finally', 'catch', 'fitty', 'fiddy', 'year', 'ago', 'may', 'replace', 'definition', 'tho']","['lol', 'ever', 'since', 'you', 'tweeted', 'hunnet', 'recently', 'the', 'word', 'hundred', 'was', 'immediately', 'deleted', 'from', 'my', 'vocabulary', 'this', 'phenomenon', 'finally', 'caught', 'up', 'with', 'fitty', 'or', 'fiddy', 'from', 'years', 'ago', 'i', 'may', 'replace', 'the', 'definition', 'tho']"
