date,content,content_cleaned,hashtags,content_preprocessed,content_preprocessed_with_stopwords
2022-10-08 23:59:59+00:00,BLUE JAYS WHAT HAPPENEDDDUH,BLUE JAYS WHAT HAPPENEDDDUH,[],"['blue', 'jay', 'happeneddduh']","['blue', 'jays', 'what', 'happeneddduh']"
2022-10-08 23:59:59+00:00,Mariners take the lead!!!,Mariners take the lead,[],"['mariner', 'take', 'lead']","['mariners', 'take', 'the', 'lead']"
2022-10-08 23:59:59+00:00,@Naruto0zumaki7 Lmao as she should,Lmao as she should,[],['lmao'],"['lmao', 'as', 'she', 'should']"
2022-10-08 23:59:59+00:00,"@craig_burley Nothing but lip service, unfortunately can't have it both ways.",Nothing but lip service  unfortunately ca not have it both ways,[],"['nothing', 'lip', 'service', 'unfortunately', 'ca', 'way']","['nothing', 'but', 'lip', 'service', 'unfortunately', 'ca', 'not', 'have', 'it', 'both', 'ways']"
2022-10-08 23:59:59+00:00,@Michal_Rose @heidiganahl @PolisForCO She's not anti lgbtq.  She said so herself on @MandyConnell: https://t.co/Kjl8TZrYeN,She s not anti lgbtq  She said so herself on,[],"['anti', 'lgbtq', 'say']","['she', 's', 'not', 'anti', 'lgbtq', 'she', 'said', 'so', 'herself', 'on']"
2022-10-08 23:59:59+00:00,Jimin think about it . . https://t.co/e94gpve6lx,Jimin think about it,[],"['jimin', 'think']","['jimin', 'think', 'about', 'it']"
2022-10-08 23:59:59+00:00,"{Zo f/ Stokely - Sweat 
Download Our WRJR Real JAMZ APP absolutely FREE. Click the link NOW: https://t.co/2tNrP6WIaG",Zo f  Stokely   Sweat Download Our WRJR Real JAMZ APP absolutely FREE  Click the link NOW,[],"['zo', 'f', 'stokely', 'sweat', 'download', 'wrjr', 'real', 'jamz', 'app', 'absolutely', 'free', 'click', 'link']","['zo', 'f', 'stokely', 'sweat', 'download', 'our', 'wrjr', 'real', 'jamz', 'app', 'absolutely', 'free', 'click', 'the', 'link', 'now']"
2022-10-08 23:59:59+00:00,@spidersoup_ @t4treizawa 😭😭 we know what ur gonna do,loudly crying face  loudly crying face  we know what ur gonna do,[],"['loudly', 'cry', 'face', 'loudly', 'cry', 'face', 'know', 'ur', 'gon', 'na']","['loudly', 'crying', 'face', 'loudly', 'crying', 'face', 'we', 'know', 'what', 'ur', 'gon', 'na', 'do']"
2022-10-08 23:59:59+00:00,@jj0ssy it’s deserved dw 🤭🤭🤭,its deserved dw  face with hand over mouth  face with hand over mouth  face with hand over mouth,[],"['deserve', 'dw', 'face', 'hand', 'mouth', 'face', 'hand', 'mouth', 'face', 'hand', 'mouth']","['its', 'deserved', 'dw', 'face', 'with', 'hand', 'over', 'mouth', 'face', 'with', 'hand', 'over', 'mouth', 'face', 'with', 'hand', 'over', 'mouth']"
2022-10-08 23:59:59+00:00,@Silvy_76 @TylerFFCreator Yeah agreed. If Monty is in I’m going Stephenson against the Lions.,Yeah agreed  If Monty is in Im going Stephenson against the Lions,[],"['yeah', 'agree', 'monty', 'im', 'go', 'stephenson', 'lion']","['yeah', 'agreed', 'if', 'monty', 'is', 'in', 'im', 'going', 'stephenson', 'against', 'the', 'lions']"
