date,content,predicted_labels
2022-10-04 23:59:59+00:00,"@TrueFactsStated I guess it's a sad case of ""Why hide it when no one they're talking to is listening?"". 😒",sadness
2022-10-04 23:59:59+00:00,"@JJim_Thanaporn @marktuan MARK TUAN IN HOUSTON 
#TheOtherSideTourInHouston
#theothersidetour @marktuan
🤍🤍🤍",no emotion
2022-10-04 23:59:59+00:00,@insearchofrest Dang it is this about Dr. L*Per*?,no emotion
2022-10-04 23:59:59+00:00,Happy October Neighbors!! Dogs and happiness go hand in paw! 🐾 Share your best buddy's adorable pic with us!! ⤵️📸😆 https://t.co/U75VobBdjD,no emotion
2022-10-04 23:59:59+00:00,"notas pra pack do squad?? 

-🍷",no emotion
2022-10-04 23:59:59+00:00,@RyanMaue @JackPosobiec @GovDeSantis should sue NYT and then give the winnings equally out to everyone in Florida lol,no emotion
2022-10-04 23:59:59+00:00,"@edgarwright I wrote down all of your list and luckily I have an @AlamoRaleigh near me that has a video rental portion in their bar area with a huge selection of British horror, so I’ll definitely be checking out many of them. Hopefully a few this month. Will let you know when I do. 🖤🎬",no emotion
2022-10-04 23:59:59+00:00,"@CatholicusRoma1 Don’t want to watch, if I do I would probably toss my TV out through the window!",no emotion
2022-10-04 23:59:59+00:00,I need to be rich I want my own chef😵‍💫,no emotion
2022-10-04 23:59:59+00:00,"and it’ll be for their own good, not mine.",no emotion
