date,content,predicted_labels
2022-10-08 23:59:59+00:00,BLUE JAYS WHAT HAPPENEDDDUH,surprise
2022-10-08 23:59:59+00:00,Mariners take the lead!!!,no emotion
2022-10-08 23:59:59+00:00,@Naruto0zumaki7 Lmao as she should,no emotion
2022-10-08 23:59:59+00:00,"@craig_burley Nothing but lip service, unfortunately can't have it both ways.",sadness
2022-10-08 23:59:59+00:00,@Michal_Rose @heidiganahl @PolisForCO She's not anti lgbtq.  She said so herself on @MandyConnell: https://t.co/Kjl8TZrYeN,no emotion
2022-10-08 23:59:59+00:00,Jimin think about it . . https://t.co/e94gpve6lx,no emotion
2022-10-08 23:59:59+00:00,"{Zo f/ Stokely - Sweat 
Download Our WRJR Real JAMZ APP absolutely FREE. Click the link NOW: https://t.co/2tNrP6WIaG",sadness
2022-10-08 23:59:59+00:00,@spidersoup_ @t4treizawa 😭😭 we know what ur gonna do,anger
2022-10-08 23:59:59+00:00,@jj0ssy it’s deserved dw 🤭🤭🤭,anger
2022-10-08 23:59:59+00:00,@Silvy_76 @TylerFFCreator Yeah agreed. If Monty is in I’m going Stephenson against the Lions.,no emotion
