date,content,predicted_labels
2022-10-05 23:59:59+00:00,it's been 5 years https://t.co/mD1vSwhND3,no emotion
2022-10-05 23:59:59+00:00,@Digital_kaz NIV has correct text: https://t.co/M8sPpkwN2p,no emotion
2022-10-05 23:59:59+00:00,i wish i was haechan https://t.co/L4TYDTeEe9,no emotion
2022-10-05 23:59:59+00:00,@jullsrockwell @gigihoppe NEM FUDEND,no emotion
2022-10-05 23:59:59+00:00,20220516 - Fresh Wave Alternate Intro - Karl Wyssen by Intro from 2022 Finite,no emotion
2022-10-05 23:59:59+00:00,@yarotrof Russian stuff is junk,surprise
2022-10-05 23:59:59+00:00,@TJLang70 @peneisewell58 That’s just plain filthy and MEAN…love it…get some more you big bully!,anger
2022-10-05 23:59:59+00:00,@Jcolevillle coke was so duckin wrong ab this life of pablo better then anything he ever dropped and donda was still aoty dis nigga is so corny yo,anger
2022-10-05 23:59:59+00:00,5/9 start in the 1st for Brown after going 8/11 on Sunday. Celtics and Raptors tied 20-20.,no emotion
2022-10-05 23:59:59+00:00,off to Japan! See you Japan’s Winnies 😊 https://t.co/s1OvRBWsFx,no emotion
