date,content,predicted_labels
2022-10-02 23:59:59+00:00,@giselefetterman @Bob_Casey @JohnFetterman And they both live there too.,no emotion
2022-10-02 23:59:59+00:00,GMC Nowadays ✨ https://t.co/eyx5QqMzbv,no emotion
2022-10-02 23:59:59+00:00,@aintthatsomesh8 @AlyciaTyre @YCP4EVRRR red flagsss,surprise
2022-10-02 23:59:59+00:00,@KennethFoat I’M SORRY?????? WHAT?,sadness
2022-10-02 23:59:59+00:00,The woman king is getting watched as soon as it’s out,surprise
2022-10-02 23:59:59+00:00,Veola Taft Goode - He Is My God https://t.co/QLYLshqCNm,sadness
2022-10-02 23:59:59+00:00,"@rickywlmsbong @arindube if they do, I think they lose immediately, so I think they won't. But who knows, they've been very dumb so far",no emotion
2022-10-02 23:59:59+00:00,"@LongFormMath That's a lot like shitting, isn't it. I am fantastically good at shitting. I spin Moebius strips out of my bum like a topoturdmagician",no emotion
2022-10-02 23:59:59+00:00,Brett Favre is still NYC heatwave trash and deserves to be thrown in jail for a long time.,anger
2022-10-02 23:59:59+00:00,"@UScrimeReview @Stratman602 @JamieSale Lol. Ever since you tweeted ""hunnet"" recently, the word ""hundred"" was immediately deleted from my vocabulary. This phenomenon finally caught up with ""fitty"" (or ""fiddy"") from years ago.

I may replace the definition tho: https://t.co/XgQfvUkdOc",surprise
